Model,Feature_Set,N_Features,Precision,Recall,F1,PR_AUC,ROC_AUC,P@50,R@50,P@100,R@100,P@250,R@250
IsolationForest,A,25,0.84688995215311,0.44472361809045224,0.5831960461285008,0.5925127443000473,0.8197716363045807,0.96,0.12060301507537688,0.95,0.23869346733668342,0.776,0.48743718592964824
XGBoost,A,25,0.9661016949152542,0.5728643216080402,0.7192429022082019,0.7414961689900054,0.8651856756331898,1.0,0.12562814070351758,0.99,0.24874371859296482,0.96,0.6030150753768844
IsolationForest,B,42,0.8660287081339713,0.4547738693467337,0.5963756177924218,0.6991360757321928,0.9130565818527068,0.94,0.11809045226130653,0.95,0.23869346733668342,0.836,0.5251256281407035
XGBoost,B,42,0.9127725856697819,0.7361809045226131,0.8150208623087621,0.86865321606351,0.9450374932462188,1.0,0.12562814070351758,0.99,0.24874371859296482,0.976,0.6130653266331658
IsolationForest,C,53,0.8947368421052632,0.46984924623115576,0.6161449752883031,0.7457474172107237,0.930065700368426,0.98,0.12311557788944724,0.96,0.24120603015075376,0.856,0.5376884422110553
XGBoost,C,53,0.9311377245508982,0.7814070351758794,0.8497267759562842,0.8999450474038665,0.9639881612329307,0.98,0.12311557788944724,0.99,0.24874371859296482,0.976,0.6130653266331658
Stacked_XGB+IF,C,54,0.9472049689440993,0.7663316582914573,0.8472222222222222,0.901068119036964,0.9631428324552116,1.0,0.12562814070351758,0.99,0.24874371859296482,0.976,0.6130653266331658
Blend(a=0.95),C,53,0.9283582089552239,0.7814070351758794,0.8485675306957708,0.8999851851606278,0.9653909697649216,0.98,0.12311557788944724,0.99,0.24874371859296482,0.98,0.6155778894472361
StackBlend(a=0.95),C,54,0.9577922077922078,0.7412060301507538,0.8356940509915014,0.8991458108720336,0.9655752347817396,0.98,0.12311557788944724,0.99,0.24874371859296482,0.976,0.6130653266331658
