Model,Feature_Set,N_Features,Precision,Recall,F1,PR_AUC,ROC_AUC,P@50,R@50,P@100,R@100,P@250,R@250
IsolationForest,A,25,0.1339712918660287,0.14736842105263157,0.14035087719298245,0.11622317048676375,0.6666931479642502,0.26,0.06842105263157895,0.18,0.09473684210526316,0.12,0.15789473684210525
XGBoost,A,25,0.686046511627907,0.3105263157894737,0.427536231884058,0.4112089213802832,0.7405540166204986,0.92,0.24210526315789474,0.64,0.3368421052631579,0.336,0.4421052631578947
IsolationForest,B,42,0.24401913875598086,0.26842105263157895,0.2556390977443609,0.22940839976593566,0.8524476036167876,0.3,0.07894736842105263,0.24,0.12631578947368421,0.244,0.32105263157894737
XGBoost,B,42,0.6728971962616822,0.7578947368421053,0.7128712871287128,0.7498762274655255,0.9332451784874302,0.96,0.25263157894736843,0.89,0.46842105263157896,0.588,0.7736842105263158
IsolationForest,C,53,0.3062200956937799,0.3368421052631579,0.3208020050125313,0.2698924510933066,0.8891350023519573,0.32,0.08421052631578947,0.26,0.1368421052631579,0.296,0.3894736842105263
XGBoost,C,53,0.7989130434782609,0.7736842105263158,0.786096256684492,0.8284624632202533,0.9718873151100194,0.98,0.2578947368421053,0.9,0.47368421052631576,0.648,0.8526315789473684
Stacked_XGB+IF,C,54,0.8022598870056498,0.7473684210526316,0.773841961852861,0.8295722905377424,0.9743720273872367,0.98,0.2578947368421053,0.92,0.4842105263157895,0.632,0.8315789473684211
Blend(a=0.95),C,53,0.7989130434782609,0.7736842105263158,0.786096256684492,0.796580429788257,0.9749804003554069,0.92,0.24210526315789474,0.89,0.46842105263157896,0.648,0.8526315789473684
StackBlend(a=0.95),C,54,0.8022598870056498,0.7473684210526316,0.773841961852861,0.8272955100992361,0.9749584487534626,0.98,0.2578947368421053,0.92,0.4842105263157895,0.636,0.8368421052631579
